"44","Italien","land","Italien","","","","","","","","3350;3630;11383;11468;11407;11432;12263;4622;13324;13560;2397;3142;3267;3304;3341;3493;3561;3631;3634;3795;4212;4299;4332;4376;4430;4444;4477;4504;4537;4541;4557;4599;4634;4640;17338;4662;4693;4720;4742;17356;4826;4847;4848;4850;4876;4897;4914;17359;4926;4933;4949;4473;4809;4973;5003;5104;5148;5321;5341;5420;5614;5818;5825",""
"52","Sydamerika","geografiskt område","","","","","","","Världsdel.","","4655",""
"53","Reval","stad","Estland","Harju län","","Tallinn","","","Numera Tallinn.","","336;613;336;336;336;336;336;336;336;336;3429",""
"59","Porkala","tätort/by","Finland","Nyland","Kyrkslätt","Kyrkslätt","","","","","2006",""
"61","Åland","förvaltningsområde","Finland","Åland","","","","","","","2019;2020;2024;2051;2060;2084;16160;17472;17662;6084",""
"63","Sveaborg","stadsdel","Finland","Nyland","Helsingfors","Helsingfors","60.145392","24.988140","","","11394;12880;12881;5211;5294",""
"65","London","stad","England","","","London","","","","35356;35358;35359;35360;35842;35924","2900;14086;2280;2432;16222;2695;3490;3758;3874;5400;17850;17889;17932;17980;17994;17996;17997;5714;5749;5959",""
"69","Nyland","förvaltningsområde","Finland","Nyland","","","","","","","629;13745",""
"71","Åbo","stad","Finland","Egentliga Finland","Åbo","Åbo","60.451790","22.266684","","213;282;404;405;35672","195;1995;2019;2022;2044;2045;2046;2047;2049;2050;2080;2081;12518;12706;12572;14197;16158;2343;2374;3123;3267;3576;4956;4958;4975;5033;17439;17441;17452;17455;17465;17468;17473;17476;17481;17484;17492;17496;17501;17519;17540;17542;17545;17550;17576;17587;17588;17589;17608;17612;17616;17621;17641;17646;17653;17661;17669;17699;17702;17705;17706;17707;17712;17713;17714;17716;17727;6055;18348;6079;18350;6084;6085;6086;6088",""
"75","England","land","Storbritannien","","","","","","","","12486;13236;13240;2648;2846;2996;3125;3258;3267;3304;3372;4353;4775;4813;18028;5768",""
"76","Afrika","geografiskt område","","","","","","","Världsdel.","","11269;12647",""
"78","Stockholm","stad","Sverige","Uppland","Stockholm","","59.329404","18.068553","","6;214;283;284;402;403;406;407;408;409;410;35362;35673;35674;35675;35676;35677;35678;35679;35680;35692;35716;35717;35718;35719;35731;35820;35821;35822;35823;35824;35825;35848","244;41;246;246;491;1995;2061;2062;2084;2103;2158;2230;2266;2273;2279;3045;3414;11196;11197;11198;11405;11456;11113;16014;11430;12587;12527;12640;12822;11141;11144;11145;11153;11087;11107;11102;11127;11132;12056;12588;13258;244;41;41;41;41;13541;13859;2009;2022;2047;16153;16154;2070;16156;2065;2067;2078;2082;16160;2075;2085;16161;2091;2093;2097;2148;2205;2206;16179;2232;2239;16183;2298;2300;2301;2305;2311;2312;16187;2320;2323;16188;2330;2335;16191;2337;2338;2340;2341;2352;2357;2361;2363;2389;2472;2555;2705;3066;3080;3215;3267;3294;3431;3497;3594;3764;3786;3950;17156;4169;4207;4228;4261;4276;4292;4330;17278;4630;4775;4944;17361;4962;4979;4996;17370;5124;5428;5436;17413;17415;17416;17419;17424;17580;17729;17732;17737;17742;17749;17751;17760;17763;17765;17766;17767;17770;17771;17772;17774;17777;17778;17779;17794;17796;17800;17801;17805;17808;17812;17816;17821;17828;17831;17832;17833;17835;17838;17839;17840;17841;17843;17848;17852;17864;17866;17867;17868;17873;17891;17892;17895;17896;17898;17902;17903;17907;17910;17912;17915;17926;17930;17939;17941;17942;17943;17949;17951;17952;17954;17958;17959;17963;17978;17984;17987;17988;17990;17991;18001;18002;18010;18011;18019;18023;18024;18025;18027;18030;17875;5749;5867;5890;5950;5977;6020;6029;6055;6064;5786;6086",""
"87","Amerika","geografiskt område","","","","","","","Världsdel.","","11086;11620;11636;11304;12788;12811;12832;3184;11639;14059;2500;2525;2618;2877;3111;3125;3169;3304;3421;3654;3692;3771;3797;3889;4049;4297;4363;4371;4446;5029;5101;5148;5943;6059",""
"94","Esplanadparken","offentliga platser","Finland","Nyland","Helsingfors","Helsingfors","","","Park, kallad Esplanaden, Espen.","","12881;11469;4167",""
"100","Brunnsparken","offentliga platser","Finland","Nyland","Helsingfors","Helsingfors","60.155722","24.955722","Park","","3667;11394;3267",""
"116","Köpenhamn","stad","Danmark","Region Hovedstaden","","Köpenhamn","55.675914","12.566675","","400;401;411;35364;35365;35544;35545;35546;35547;35681;35682;35683;35684;35685;35688;35713;35715;35724;35725;35732;35733;35734;35735;35739;35740;35744;35749;35754;35886","2158;2164;2169;2176;2206;2219;2277;1381;11307;11699;11128;11158;11191;11205;11209;11211;11214;11254;11350;11599;11202;12608;12822;13346;13535;13562;13563;13652;13699;13729;13730;13733;13739;13753;13917;14006;14008;14007;14087;14254;16161;2126;16163;2133;2155;16175;2190;2221;2282;2289;2292;2297;2299;2298;2301;2306;2336;16191;2338;2361;4145;4583;4612;4630;4692;4801;4868;4921;4934;4935;4937;4938;17361;4953;4835;17425;17738;17757;17788;17790;17791;17803;17815;17879;17884;17888;17906;17908;17936;17956;17957;17977;18022;5890;6059",""
"118","Hamburg","stad","Tyskland","Hamburg","","Hamburg","","","","35887","11405;12833;2376;2388;3269;4742;4763;4846;17364;5022;5033;17372;6059;6061;6068;6086",""
"127","Ryssland","land","Ryssland","","","","","","","","370;3059;11339;11122;11432;12453;12486;11252;11330;11394;15934;15985;16129;11418;11532;12100;12102;13236;370;370;370;370;370;370;370;370;370;370;370;16137;14255;2850;3035;3267;3374;3658;3852;4247;4392;17279;4813;4968;5083;5679;5712;5768;5826",""
"130","Karelen","geografiskt område","","","","","","","","","491;13771",""
"134","Tyskland","land","Tyskland","","","","","","","","11386;12451;12486;2390;2402;2507;2581;2606;12088;13328;13617;14036;14256;2199;2375;16198;2400;2414;16222;2655;2722;2771;2812;2849;2850;2851;16268;2979;2994;3043;3168;3267;3287;3372;3374;3624;3664;3771;3879;4198;4225;4258;4446;4703;4800;4918;4939;4809;17370;5040;17780;17992;5835;5873;5969",""
"139","Borgå","stad","Finland","Östra Nyland","Borgå","Borgå","","","","","1988;1990;2000;3189;3217;16016;11710;12995;13006;13158;13745;14180;2177;2321;2655;2954;3221;3263;3298;3757;3890;3904;3946;3970;3975;4188;17164;4249;4251;4802;4932;17529;17539;17591;17668;17722;5762",""
"140","München","stad","Tyskland","Bayern","","München","","","","210","2916;3341;3846;14021;14028;14060;2544;2591;16222;16231;2736;2771;2995;2996;3062;3528;3626;3631;3842;4068;17333;4742;17357;4866;4884;4885;4890;4904;4906;4913;4922;4925;4939;4942;17741;17810;17916;17979;5732",""
"155","Egypten","land","Egypten","","","","","","","","4154;11586;11611;13560;3169;3372;3493;5148;5722",""
"158","Turkiet","land","Turkiet","","","","","","","","3473;4813;5679;18338",""
"159","Europa","geografiskt område","","","","","","","Världsdel.","","11307;12317;12378;11269;13605;13690;13743;2602;16222;2833;2834;2909;3341;3414;3692;3758;3770;3795;4280;17301;4516;4655;4848;5719;5943;5969",""
"171","Sibirien","geografiskt område","Ryssland","","","","","","","","11339;12973;12975;3148",""
"172","Hangö","stad","Finland","Nyland","Hangö","Hangö","","","","","16014;13859;2075;17528;17596;17607;17644",""
"173","Villmanstrand","stad","Finland","Södra Karelen","Villmanstrand","Villmanstrand","","","fi. Lappeenranta","","11418",""
"175","Brändö","stadsdel","Finland","Nyland","Helsingfors","Helsingfors","","","ö i Helsinge socken som 1876–1907 ägdes av Jean Cronstedt, därefter köpt av Ab Brändö villastad, 1921 självständig kommun, 1946 införlivad med Helsingfors stad","","14258",""
"179","Imatra","stad","Finland","Södra Karelen","Imatra","Imatra","","","","","13538;13563;13765;5606",""
"181","Joensuu","stad","Finland","Norra Karelen","Joensuu","Joensuu","","","","","2925",""
"182","Prag","stad","Tjeckien","Böhmen","","","","","","","12716",""
"183","Kanada","land","Kanada","","","","","","","","2741;2838;2911;17992",""
"184","Berlin","stad","Tyskland","Berlin","","Berlin","","","","16818;35321;35390;35490;35548;35622;35623;35624;35625;35695;35696;35742;35761;35762;35849","11196;16099;11723;11728;11730;11731;11754;12566;12836;12838;12842;12846;12849;13472;13494;13524;16144;16145;13801;13802;13803;13804;13811;2388;3249;3373;4551;4866;4868;4939;4941;4942;4943;17849;17896;5749;5850",""
"186","Versailles","stad","Frankrike","","","","","","","","13515;3085;3103;3173;16670;3233;3282;3851;3945;4019;4109;4167;4168;4225;4227;4430;4445;5654;5664;5763;5764;5969;6058;5322",""
"188","Dorpat","stad","Estland","Tartu län","","","","","numera Tartu","","2375",""
"189","Belgien","land","Belgien","","","","","","","","3411;3846;12400;2739;2978;2495;2586;2105;2399;2411;2492;2500;2507;2565;2602;16226;2672;2402;2715;2812;2835;2851;2905;2909;2911;2982;2996;3019;3028;3048;3062;3063;3304;3457;3634;3775;4334;6059;5783;2850",""
"190","Köln","stad","Tyskland","Nordrhein-Westfalen","","Köln","","","","24;285","365;16027;11254;12833;12865;16198;2393;2396;2398;2402;2424;16214;2655;2718;2818;2836;3223;4460;5033;18015;6059",""
"191","Schweiz","land","Schweiz","","","","","","","","365;12716;13730;13765;2095;2994;3508;3517;3874;4175;4220;4299;4318;4388;4400;4455;4466;4680;4780;4801;5091;5138;17928;5731;5984;5732;5828",""
"193","Wien","stad","Österrike","","","Wien","","","","159;160","11240;11271;13137;2833;2872;3341;3373;3528;3601;3631;4222;4414;4430;17283;17285;17302;4519;4523;4472;4478;4479;17303;17304;4485;17279;4513;5076;5093;5101;5147;17921;5732",""
"194","Skandinavien","geografiskt område","","","","","","","","","2586",""
"225","Leipzig","stad","Tyskland","Sachsen","","","","","","35446","13518;13536;12868;11732;12363;2156",""
"226","Loire","vattenmassa","Frankrike","","","","","","Flod.","","319;495;496;13279",""
"229","Villefranche-sur-Mer","stad","Frankrike","","","","","","Vilafranca de Mar (occitanska), Villafranca Marittima (italienska); ligger på franska rivieran (Alpes-Maritimes)","","12255;12269",""
"267","Japan","land","Japan","","","","","","","","4371",""
"269","Danmark","land","Danmark","","","","","","","","2171;11674;11189;11227;11645;12803;4622;11350;2070;2111;2126;4629;4747;4846;4891;4929;4944;4614;5033;5543;17574;17824;17844",""
"273","Kiala","egendom","Finland","Östra Nyland","Borgå landskommun","Borgå","60.408099","25.617126","Gård.","1;2","2141;2150;2161;2244;2275;3148;3202;3222;3229;3252;3264;3272;3285;3364;3403;3448;3468;3673;3690;3757;3970;3973;3974;3975;12829;12514;1983;1985;1991;1997;1998;5232;16164;16174;2177;16181;2318;2321;2323;2326;2691;2686;3175;3248;16909;3297;3298;3313;3319;4176;4230;4218;4232;4233;4234;4249;4251;4274;4319;3199;5260",""
"275","Dalsbruk","tätort/by","Finland","Egentliga Finland","Dragsfjärd","Kimitoön","","","","3","2005;2009;2008;17480",""
"277","Haiko","egendom","Finland","Östra Nyland","Borgå landskommun","Borgå","60.352139","25.624922","Gård.","35621;35690","11380;11394;11555;11556;11566;11536;11579;11591;11627;11634;11685;11697;1405;1635;16040;1636;16054;1637;16069;1638;12156;12691;12690;12707;12718;12728;12732;12737;12749;12769;12772;12786;12821;12822;12835;16122;13022;11625;12586;12733;12747;13182;13301;13374;13563;13592;13657;13743;13745;13755;13765;13770;13775;13784;14265;14267;3970",""
"278","Walter Runebergs ateljé","privata rum","Frankrike","","","Paris","","","Ateljé.","35344","13224",""
"279","Wilhelmshöhe","borg","Tyskland","Hessen","","Kassel","","","","35525;35693","",""
"280","Alhambra","borg","Spanien","Andalusien","Granada","Granada","","","","16712","5041;5117",""
"281","Altona","stadsdel","Tyskland","Hamburg","","Hamburg","","","","35853","6059",""
"282","Antwerpen","stad","Belgien","","","Antwerpen","","","","25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;63","3057;3063;3112;3121;3125;3157;3212;3283;3341;3400;3421;3629;3841;3846;2376;2385;16198;2396;2402;2404;2405;2412;2420;2421;2426;2436;2435;2437;2445;2471;2473;2497;2507;2510;2515;2517;2519;16217;2569;2586;2587;2591;2608;16220;16221;16222;2634;2643;2672;2694;2695;2738;2739;2750;2751;2791;2798;2806;2811;2818;16265;2846;2849;2851;16267;2861;2877;2900;2906;2907;2978;2983;2991;2994;3020;3023;3024;16286;3029;3033;3038;3040;3046;3047;3053;3059;3082;3129;3145;3174;3249;3287;3295;3322;3335;3340;3357;3369;3406;3411;3417;3440;3457;3450;3490;3561;16927;3662;3664;3685;16931;3728;2847;3089;3247;16937;3822;3862;3868;17146;4067;4127;4138;4142;4526;4486;4924;5238;5578;5780;5908",""
"284","Baden-Baden","stad","Tyskland","Baden-Württemberg","","Baden-Baden","","","","35524","4775",""
"285","Barbizon","tätort/by","Frankrike","","","Barbizon","","","ort nära Fontainebleau, utanför Paris","130","11667;11678;14169;14171;14172;14173;14175;14177;14176;4076;4082;4087;4099;4116",""
"286","Belfort","stad","Frankrike","","","Belfort","","","","35557","13377;13469",""
"287","Bryssel","stad","Belgien","","","Brüssel","","","","35614","2861;2894;2907;2916;2949;3014;3023;3031;3042;2430;2434;2436;2455;2475;2478;2513;2514;2519;2568;2669;2672;16228;2702;2469;2712;2818;2877;2906;3062;3063;3406;3440;4940;17422;17735;17744;17754;17806;18000;18016",""
"288","Cannes","stad","Frankrike","","","Cannes","","","","35642;35643;35644;35646;35648","12044;12113;12114;12270;12284;12294;13217;13319;13582;13583;13929",""
"289","Dresden","stad","Tyskland","Sachsen","Dresden","Dresden","","","","211;35445","11724;11731;11744;12716;12848;12849;12851;12852;12853;12855;12857;12890;2715;2994;3626;3797;4866;4890;4912;4898;17359;4925;4942;4917",""
"290","Florens","stad","Italien","Toscana","","Florens","","","Italienska: Firenze.","209","3340;11395;11339;11364;11365;12346;12671;12672;3142;3341;3350;3631;3795;3842;4068;4074;4147;4189;4259;4318;4348;4490;4492;4495;4499;4502;4504;4507;4742;4785;4845;4866;4874;4885;4893;4894;4897;4900;4901;4902;4904;4913;4925;4933;4835;5325",""
"291","Frankfurt","stad","Tyskland","Hessen","","Frankfurt","","","","35626","2397;2655;2851;4742;4924",""
